Bridge Site ID,Longitude,Latitude,District
0063Z00000mYb4X,30.497318,0.886076,Kabarole
0063Z00000hxflw,30.484131,0.862348,Kabarole
0063Z00000hxfns,30.315507,0.764399,Kabarole
0063Z00000hxfnY,30.307662,0.759376,Kabarole
0063Z00000hxfoH,30.347315,0.753969,Kabarole
0063Z00000hxfo7,30.339555,0.745246,Kabarole
0063Z00000hxfni,30.317333,0.744009,Kabarole
0063Z00000hxfmf,30.297,0.736377,Kabarole
0063Z00000mYKkw,30.247866,0.73486,Kabarole
0063Z00000mYKlB,30.252315,0.733175,Kabarole
0063Z00000hxfoW,30.305661,0.731018,Kabarole
0063Z00000mYKl6,30.206996,0.730345,Kabarole
0063Z00000mYKl1,30.196927,0.726088,Kabarole
0063Z00000hxfmk,30.293658,0.725351,Kabarole
0063Z00000mYQeY,30.233111,0.722058,Kabarole
0063Z00000mYKkh,30.195831,0.720146,Kabarole
0063Z00000mYQeJ,30.221048,0.719402,Kabarole
0063Z00000mYKlG,30.220725,0.714876,Kabarole
0063Z00000mYKlV,30.269961,0.713138,Kabarole
0063Z00000mYKlQ,30.212849,0.711633,Kabarole
0063Z00000mYKlL,30.269785,0.709731,Kabarole
0063Z00000mYKll,30.184958,0.709437,Kabarole
0063Z00000mYQfM,30.220562,0.706855,Kabarole
0063Z00000hxfnE,30.183862,0.705787,Kabarole
0063Z00000hxfmp,30.262914,0.703121,Kabarole
0063Z00000mYQe9,30.223653,0.701746,Kabarole
0063Z00000mYQf7,30.242663,0.701557,Kabarole
0063Z00000mYKm9,30.1795,0.690652,Kabarole
0063Z00000hxfnJ,30.174183,0.687546,Kabarole
0063Z00000ivPnc,30.174623,0.687056,Kabarole
0063Z00000hxfoC,30.172702,0.6832,Kabarole
0063Z00000hxfmz,30.286775,0.681862,Kabarole
0063Z00000hxfm6,30.251207,0.681577,Kabarole
0063Z00000hxfma,30.34284,0.66497,Kabarole
0063Z00000mYKlf,30.212962,0.662644,Kabarole
0063Z00000ivPqR,30.150787,0.661233,Kabarole
0063Z00000hxfnT,30.149988,0.660638,Kabarole
