Bridge Site ID,Longitude,Latitude,District,Country
006f100000a86Gd,29.54557,-2.69808,all,Rwanda
006f100000d7ayg,29.54411,-1.81792,all,Rwanda
006f100000d7jI3,29.78521,-2.56425,all,Rwanda
006f100000a86Dl,30.008065,-2.018067,all,Rwanda
006f100000biKAa,30.100122,-1.66842,all,Rwanda
006f100000d7iX7,29.289722,-1.86777,all,Rwanda
006f100000a86G6,30.034608,-1.94142,all,Rwanda
006f100000biKA1,30.129922,-1.554772,all,Rwanda
006f100000cPuua,29.649033,-2.621482,all,Rwanda
006f100000biKAa,30.100122,-1.66842,all,Rwanda
006f100000biKAL,30.097712,-1.675363,all,Rwanda
006f100000d767S,29.84815,-2.45403,all,Rwanda
006f100000d7bAR,29.88201,-2.51384,all,Rwanda
006f100000a86IK,29.41401,-2.02409,all,Rwanda
006f100000d7Pqr,29.63099,-2.03409,all,Rwanda
006f100000d6wBy,29.76212259,-2.01211492,all,Rwanda
006f100000d1fOy,29.37769,-2.18135,all,Rwanda
006f100000Zs7Kq,29.557267,-2.711764,all,Rwanda
006f100000a86HN,29.665556,-2.161944,all,Rwanda
006f100000a86Gm,29.56721,-2.7891,all,Rwanda
006f100000cME4x,29.493611,-1.94833,all,Rwanda
006f100000d7icR,29.86773,-1.62306,all,Rwanda
006f100000d6mYV,29.68033,-2.37584,all,Rwanda
006f100000d6kxF,29.472585,-2.304674,all,Rwanda
006f100000cME4T,29.47704,-1.91924,all,Rwanda
006f100000a86Dk,29.84578,-1.972033,all,Rwanda
006f100000d7cnF,29.87352,-1.73099,all,Rwanda
006f100000d7iZw,29.37049,-1.90122,all,Rwanda
006f100000eekWT,30.2538,-1.43737,all,Rwanda
006f100000a86Es,30.288805,-1.367991,all,Rwanda
006f100000a86E0,29.71500053,-2.07322294,all,Rwanda
006f100000a86Da,29.612778,-2.513333,all,Rwanda
006f100000aSNCT,29.366194,-1.723639,all,Rwanda
006f100000dhpCW,29.651,-1.88597,all,Rwanda
006f100000cME57,29.37514,-1.77286,all,Rwanda
006f100000cME5C,29.377044,-1.777574,all,Rwanda
006f100000d761u,29.67017014,-1.87302569,all,Rwanda
006f100000d888g,29.54295,-2.21245,all,Rwanda
006f100000cME57,29.37514,-1.77286,all,Rwanda
006f100000cME57,29.37514,-1.77286,all,Rwanda
006f100000d7EZR,29.64411986,-2.05545934,all,Rwanda
006f100000d6wRL,29.6848,-2.35939,all,Rwanda
006f100000d6wJr,29.493611,-1.94833,all,Rwanda
006f100000d88IW,29.263236,-2.210267,all,Rwanda
006f100000a86FH,29.43966667,-2.45674667,all,Rwanda
006f100000d6kvT,29.40916,-1.985833,all,Rwanda
006f100000a82Qz,29.141944,-2.322534,all,Rwanda
006f100000d7Eat,29.57632,-2.026616,all,Rwanda
006f100000d7QQO,29.65746,-2.48655,all,Rwanda
006f100000d7Eat,29.57632,-2.026616,all,Rwanda
006f100000d6wNe,29.416145,-2.48689,all,Rwanda
006f100000d7PrB,29.56793,-1.94955,all,Rwanda
006f100000d7673,29.81484,-2.30781,all,Rwanda
006f100000d767N,29.87035,-2.45118,all,Rwanda
006f100000d7x5o,29.81289,-2.70198,all,Rwanda
006f100000d7ET8,29.80904,-2.4851,all,Rwanda
006f100000cME5l,29.532594,-1.955157,all,Rwanda
006f100000a86Id,30.025484,-1.947431,all,Rwanda
006f100000cPXEE,29.41472222,-2.02408333,all,Rwanda
006f100000a86HT,29.8994722,-1.6443889,all,Rwanda
006f100000d1Tr5,28.9137,-2.44658,all,Rwanda
006f100000a86FJ,29.55353,-2.363733,all,Rwanda
006f100000eev0l,30.344471,-1.239774,all,Rwanda
006f100000d6wBo,29.70709763,-2.04935967,all,Rwanda
006f100000d7iYP,29.33218,-1.84792,all,Rwanda
006f100000d7iYe,29.324166,-1.8675,all,Rwanda
006f100000cME5H,29.37679,-1.763,all,Rwanda
006f100000eesiU,29.92942,-1.872181,all,Rwanda
006f100000d6wC3,29.66043,-1.73435,all,Rwanda
006f100000bh0WY,30.65636,-2.15158,all,Rwanda
006f100000d7jHF,29.75931,-2.59149,all,Rwanda
006f100000cME5H,29.37679,-1.763,all,Rwanda
006f100000a86Fj,29.576407,-2.233278,all,Rwanda
006f100000d7jEf,29.42021,-2.18978,all,Rwanda
006f100000a86HF,29.35808,-1.70902,all,Rwanda
006f100000a86FX,29.57513,-2.233022,all,Rwanda
006f100000a86DB,29.70305556,-1.623611111,all,Rwanda
006f100000d7b6a,29.242738,-2.301919,all,Rwanda
006f100000a86FK,29.57068,-2.39084,all,Rwanda
006f100000eekYU,29.996602,-1.894583,all,Rwanda
0063Z00000gLr35,29.763889,-2.012167,all,Rwanda
006f100000a86IW,30.04942,-1.916403,all,Rwanda
006f100000eekWJ,30.23321,-1.46111,all,Rwanda
006f100000a86HL,29.80927,-2.18495,all,Rwanda
006f100000a86Do,29.5181389,-2.14375,all,Rwanda
006f100000a86H4,29.45740167,-2.63522167,all,Rwanda
006f100000a86F4,29.4208,-2.47640667,all,Rwanda
006f100000a86G1,29.668688,-2.329779,all,Rwanda
006f100000d7jEQ,29.161228,-2.319874,all,Rwanda
006f100000d1f2J,29.04382,-2.515733,all,Rwanda
006f100000d7PqS,29.60512,-1.98911,all,Rwanda
006f100000a86G1,29.668688,-2.329779,all,Rwanda
006f100000a86D2,29.755277,-1.738888,all,Rwanda
006f100000d7bA7,29.9468,-2.40829,all,Rwanda
006f100000eev0v,30.550523,-1.286986,all,Rwanda
006f100000ZQRq3,30.113889,-1.820833,all,Rwanda
006f100000atwPz,29.700843,-2.115072,all,Rwanda
006f100000a86GK,29.67607,-2.71578,all,Rwanda
006f100000a86Gx,29.73864,-2.71667,all,Rwanda
006f100000c5VQs,29.81207,-1.75261,all,Rwanda
006f100000c5pcI,29.62303,-1.83113,all,Rwanda
006f100000a86GF,29.446917,-2.697944,all,Rwanda
006f100000c5pcI,29.62303,-1.83113,all,Rwanda
006f100000d75v6,29.568185,-2.52565,all,Rwanda
006f100000d6wO8,29.4097,-2.34743667,all,Rwanda
006f100000d6wOD,29.4072,-2.35571333,all,Rwanda
006f100000d7iUr,29.29776,-1.80169,all,Rwanda
006f100000a86Cu,29.80729,-1.377,all,Rwanda
006f100000d6yKi,29.4215,-1.66374,all,Rwanda
006f100000d7Pr6,29.60749,-1.92556,all,Rwanda
006f100000a86Gu,29.6986,2.79415,all,Rwanda
006f100000a86F2,29.4665,-2.448025,all,Rwanda
006f100000cPnOG,29.57333333,-2.228055556,all,Rwanda
006f100000d6wNy,29.503838,-2.540715,all,Rwanda
006f100000a86D4,29.64861111,-1.693888889,all,Rwanda
006f100000d75uw,29.5136,-2.53568,all,Rwanda
006f100000d7wXY,29.42192,-2.17593,all,Rwanda
006f100000dhyad,29.542492,-2.424161,all,Rwanda
006f100000a86IG,29.3735,-1.89261,all,Rwanda
006f100000d1fV1,29.0416,-2.60327,all,Rwanda
006f100000d6wBj,29.70737206,-2.05014799,all,Rwanda
006f100000d6wC8,29.66985,-1.77229,all,Rwanda
006f100000d7iQB,29.30777,-1.7628,all,Rwanda
006f100000d88A3,-29.49645,-2.19348,all,Rwanda
006f100000dhpEm,29.80888,-1.6897222,all,Rwanda
006f100000d7678,29.8712,-2.2794,all,Rwanda
006f100000d7Gro,29.50069,-1.66137,all,Rwanda
006f100000eekW9,30.15516,-1.44263,all,Rwanda
006f100000a86Fk,29.206295,-2.280762,all,Rwanda
006f100000ef7jT,30.437908,-2.21354,all,Rwanda
006f100000a86Gf,29.66886,-2.77066667,all,Rwanda
006f100000d78P4,29.514311,-2.271943,all,Rwanda
006f100000eev1t,30.201582,-1.576221,all,Rwanda
006f100000d6wIK,29.409702,-2.345908,all,Rwanda
006f100000d7hE3,29.43474,-2.62757667,all,Rwanda
006f100000eekWO,30.25549,-1.43877,all,Rwanda
006f100000eekgW,29.81828,-2.08488,all,Rwanda
006f100000d7Pq8,29.5796,-2.04927,all,Rwanda
006f100000d1hIk,29.1422,-2.33616,all,Rwanda
006f100000d7iV6,29.31405,-1.8011,all,Rwanda
006f100000a86ER,29.58247,-1.82273,all,Rwanda
006f100000a86HD,29.53638889,-2.53305556,all,Rwanda
006f100000d1hPv,29.67281,-2.74006,all,Rwanda
006f100000d7iU8,29.30452,-1.80495,all,Rwanda
006f100000eeuxr,29.5995,-2.136568,all,Rwanda
006f100000a86ER,29.58247,-1.82273,all,Rwanda
006f100000d6wBU,29.77510744,-1.95197033,all,Rwanda
006f100000d6wOI,29.40052667,-2.373135,all,Rwanda
006f100000a86IT,29.370833,-1.90083,all,Rwanda
006f100000bMJzC,30.0909,-1.46305,all,Rwanda
006f100000d88Kw,29.188273,-2.408611,all,Rwanda
006f100000d7ayv,29.42038,-2.10774,all,Rwanda
006f100000ary6h,29.779313,-1.930371,all,Rwanda
006f100000a86F9,29.5426533,-2.4243,all,Rwanda
006f100000d7Q8j,29.80846,-1.37445,all,Rwanda
006f100000d1fTe,29.38323,-2.24952,all,Rwanda
006f100000d7cjc,29.87465,-1.74886,all,Rwanda
006f100000d1hGe,29.03581174,-2.54704093,all,Rwanda
006f100000eeuy6,29.574572,-2.162912,all,Rwanda
006f100000efHAH,30.13083,-1.79011,all,Rwanda
006f100000a86D7,29.71166667,-1.623888889,all,Rwanda
006f100000d6kr9,29.44929833,-2.4418,all,Rwanda
006f100000d78O6,29.544103,-2.363741,all,Rwanda
006f100000a86Hh,29.89917,-1.68333,all,Rwanda
006f100000a86Ho,30.07574,-1.80183,all,Rwanda
006f100000a86Ho,30.07574,-1.80183,all,Rwanda
006f100000aSNCP,29.294444,-1.692028,all,Rwanda
006f100000d7EVd,29.616601,-1.497265,all,Rwanda
006f100000d7iTZ,29.30232,-1.80494,all,Rwanda
006f100000eeuv7,30.60416,-2.20179,all,Rwanda
006f100000d1fT5,29.41381,-2.25799,all,Rwanda
006f100000a86IH,29.41441,-2.03645,all,Rwanda
006f100000d7ETr,29.76592,-2.38471,all,Rwanda
006f100000d7JCn,29.63056167,-2.46321833,all,Rwanda
006f100000asEzN,29.62627167,-2.77676167,all,Rwanda
006f100000a86GB,29.464528,-2.7761,all,Rwanda
006f100000eeuu9,29.56258,-2.10761,all,Rwanda
006f100000a86GP,29.65577,-2.68734,all,Rwanda
006f100000d1fNg,29.36088,-1.67323,all,Rwanda
006f100000a86GP,29.65577,-2.68734,all,Rwanda
006f100000d7Gr0,29.55681,-1.70127,all,Rwanda
006f100000eekYe,30.01887,-1.91659,all,Rwanda
006f100000a86Ct,30.245678,-2.095311,all,Rwanda
006f100000eekWx,30.17181,-1.3683,all,Rwanda
006f100000a86DI,29.784722,-1.639722,all,Rwanda
006f100000d7iXb,29.28597,-1.85437,all,Rwanda
006f100000a86GU,29.596655,-2.721561,all,Rwanda
006f100000d8AoP,29.88709,-2.62646,all,Rwanda
006f100000d7ayM,29.53777,-1.74082,all,Rwanda
006f100000d7az0,29.42296,-2.1067,all,Rwanda
006f100000d6wNt,29.42337667,-2.368775,all,Rwanda
006f100000d6wNj,29.42095333,-2.37318833,all,Rwanda
006f100000d7wY7,29.44834,-2.0924,all,Rwanda
006f100000d7Q9S,29.6722,-1.43466,all,Rwanda
006f100000d6mYG,29.69336,-2.31422,all,Rwanda
006f100000eev0q,30.347849,-1.206567,all,Rwanda
006f100000d7iew,29.7302,-1.61835,all,Rwanda
006f100000d7ibY,29.80379,-1.79797,all,Rwanda
006f100000a86Eq,29.46661,-1.67991,all,Rwanda
006f100000d1h8G,29.11603,-2.34996,all,Rwanda
006f100000d88F3,29.095785,-2.37385,all,Rwanda
006f100000cMOsW,30.0783,-1.43057,all,Rwanda
006f100000bMK0o,30.08827,-1.44522,all,Rwanda
006f100000d7x5A,29.75411,-2.7242,all,Rwanda
006f100000d1fUr,29.03953,-2.57161,all,Rwanda
006f100000d7Pqw,29.61731,-2.08128,all,Rwanda
006f100000d1fVL,29.04596,-2.59647,all,Rwanda
006f100000a86Gk,29.43339,-2.69743,all,Rwanda
006f100000d1fSW,29.455833,-2.269072,all,Rwanda
006f100000d7wY2,29.4189,-2.08015,all,Rwanda
006f100000aSNCS,29.370611,-1.746972,all,Rwanda
006f100000d7x5F,29.708728,-2.775531,all,Rwanda
006f100000cME4x,29.493611,-1.94833,all,Rwanda
006f100000d88IH,29.219801,-2.393212,all,Rwanda
006f100000d7iXg,29.34447,-1.84493,all,Rwanda
006f100000d7JCY,29.55258167,-2.46756167,all,Rwanda
006f100000d1Tt1,28.96442,-2.61167,all,Rwanda
