Bridge Site ID,Latitude,Longitude,Country,Region
1009316,-2.52444444,29.55333333,Rwanda,Nyamagabe
1009317,-2.760833,29.488056,Rwanda,Nyaruguru
1013805,-2.775531,29.708728,Rwanda,Gisagara
1013339,-2.402212,29.715983,Rwanda,Huye
1013233,-1.60834,29.8911,Rwanda,Burera
1013496,-1.33001,29.82555,Rwanda,Burera
1002622,-1.700583,29.831933,Rwanda,Gakenke
1002625,-1.660639,29.873889,Rwanda,Gakenke
1002639,-1.813111,29.875111,Rwanda,Gakenke
1007340,-1.738888,29.755277,Rwanda,Gakenke
1007347,-1.781111111,29.87916667,Rwanda,Gakenke
1013678,-1.66344,29.83439,Rwanda,Gakenke
1015693,-1.621187,29.660569,Rwanda,Gakenke
1002430,-1.848167,30.097,Rwanda,Gasabo
1002624,-1.813833,30.098779,Rwanda,Gasabo
1002628,-1.820833,30.113889,Rwanda,Gasabo
1037311,-1.83181776,30.07863042,Rwanda,Gasabo
1038493,-1.88866484,30.03297131,Rwanda,Gasabo
1002617,-1.555918,30.211844,Rwanda,Gatsibo
1002629,-1.765778,30.127389,Rwanda,Gicumbi
1009714,-1.533333,30.173611,Rwanda,Gicumbi
1010917,-1.671847,30.057339,Rwanda,Gicumbi
1013806,-2.7975,29.697972,Rwanda,Gisagara
1007374,-2.513333,29.612778,Rwanda,Huye
1007380,-2.66052,29.74644,Rwanda,Huye
1009280,-2.41201,29.67439,Rwanda,Huye
1012501,-2.621482,29.649033,Rwanda,Huye
1002620,-1.90272,29.79132,Rwanda,Kamonyi
1014322,-1.934919,29.819397,Rwanda,Kamonyi
1014335,-1.926511,29.814264,Rwanda,Kamonyi
1002619,-2.222701,29.529556,Rwanda,Karongi
1013776,-2.06165,29.39508,Rwanda,Karongi
1013867,-2.13838,29.33504,Rwanda,Karongi
1014031,-2.209275,29.47145,Rwanda,Karongi
1014052,-2.18836,29.37793,Rwanda,Karongi
1014056,-2.14763,29.34468,Rwanda,Karongi
1014069,-2.13333,29.3625,Rwanda,Karongi
1015561,-2.109525,29.314058,Rwanda,Karongi
1007322,-1.98025,30.108917,Rwanda,Kicukiro
1014552,-2.003541,30.055354,Rwanda,Kicukiro
1002422,-1.87583,29.80681,Rwanda,Muhanga
1002429,-1.827389,29.67125,Rwanda,Muhanga
1002431,-2.041333,29.69886,Rwanda,Muhanga
1002631,-2.11375,29.705778,Rwanda,Muhanga
1002633,-2.143889,29.783333,Rwanda,Muhanga
1002634,-1.942167,29.773667,Rwanda,Muhanga
1007400,-2.07322294,29.71500053,Rwanda,Muhanga
1012810,-1.93662,29.73471,Rwanda,Muhanga
1012951,-2.04935967,29.70709763,Rwanda,Muhanga
1012952,-2.042163,29.722419,Rwanda,Muhanga
1012953,-2.01211492,29.76212259,Rwanda,Muhanga
1012956,-1.77785489,29.67587526,Rwanda,Muhanga
1013256,-1.838472,29.684286,Rwanda,Muhanga
1013263,-2.003951,29.675447,Rwanda,Muhanga
1013350,-1.97717889,29.67449787,Rwanda,Muhanga
1013351,-2.05545934,29.64411986,Rwanda,Muhanga
1017673,-2.012167,29.763889,Rwanda,Muhanga
1024518,-2.115072,29.700843,Rwanda,Muhanga
1002616,-1.92738,29.629086,Rwanda,Ngororero
1002623,-1.920847,29.631467,Rwanda,Ngororero
1002858,-1.922667,29.575833,Rwanda,Ngororero
1002859,-1.971333,29.602778,Rwanda,Ngororero
1007423,-1.801579,29.645831,Rwanda,Ngororero
1007424,-1.856167,29.622611,Rwanda,Ngororero
1007425,-1.82487,29.61382,Rwanda,Ngororero
1007426,-1.819809,29.6066111,Rwanda,Ngororero
1010941,-1.83113,29.62303,Rwanda,Ngororero
1013353,-2.026616,29.57632,Rwanda,Ngororero
1013457,-1.94955,29.56793,Rwanda,Ngororero
1013459,-1.96038,29.54036,Rwanda,Ngororero
1013460,-1.95373,29.54198,Rwanda,Ngororero
1013461,-1.94216,29.55835,Rwanda,Ngororero
1013541,-1.81792,29.54411,Rwanda,Ngororero
1002618,-1.732996,29.543025,Rwanda,Nyabihu
1002636,-1.602056,29.636083,Rwanda,Nyabihu
1002637,-1.65225,29.634444,Rwanda,Nyabihu
1002638,-1.688611,29.542583,Rwanda,Nyabihu
1007444,-1.681,29.50024,Rwanda,Nyabihu
1013029,-1.67069,29.46836,Rwanda,Nyabihu
1007463,-2.45195667,29.427665,Rwanda,Nyamagabe
1007465,-2.343056,29.4325,Rwanda,Nyamagabe
1007466,-2.47640667,29.4208,Rwanda,Nyamagabe
1007477,-2.4477333,29.41455333,Rwanda,Nyamagabe
1007481,-2.363733,29.55353,Rwanda,Nyamagabe
1007495,-2.233022,29.57513,Rwanda,Nyamagabe
1007499,-2.294167,29.555224,Rwanda,Nyamagabe
1007507,-2.233278,29.576407,Rwanda,Nyamagabe
1012816,-2.34152,29.466329,Rwanda,Nyamagabe
1012817,-2.304674,29.472585,Rwanda,Nyamagabe
1012997,-2.540715,29.503838,Rwanda,Nyamagabe
1013215,-2.5265,29.510023,Rwanda,Nyamagabe
1013218,-2.52565,29.568185,Rwanda,Nyamagabe
1013225,-2.510714,29.53571,Rwanda,Nyamagabe
1013422,-2.41763333,29.555675,Rwanda,Nyamagabe
1013583,-2.396316,29.577776,Rwanda,Nyamagabe
1007325,-2.322534,29.141944,Rwanda,Nyamasheke
1013692,-2.326002,29.165331,Rwanda,Nyamasheke
1013717,-2.224749,29.291024,Rwanda,Nyamasheke
1013721,-2.216836,29.283703,Rwanda,Nyamasheke
1013894,-2.360876,29.157374,Rwanda,Nyamasheke
1013895,-2.343073,29.140422,Rwanda,Nyamasheke
1013899,-2.407594,29.163424,Rwanda,Nyamasheke
1014011,-2.554196,29.043492,Rwanda,Nyamasheke
1014119,-2.37608,29.16455,Rwanda,Nyamasheke
1002635,-2.311972,29.630944,Rwanda,Nyanza
1007506,-2.308722,29.604778,Rwanda,Nyanza
1007525,-2.329779,29.668688,Rwanda,Nyanza
1007528,-2.29248,29.61608,Rwanda,Nyanza
1007530,-1.94142,30.034608,Rwanda,Nyarugenge
1014269,-1.894583,29.996602,Rwanda,Nyarugenge
1037177,-2.00275,30.048861,Rwanda,Nyarugenge
1002432,-2.621,29.4405,Rwanda,Nyaruguru
1002630,-2.747417,29.575389,Rwanda,Nyaruguru
1002632,-2.793167,29.699444,Rwanda,Nyaruguru
1002640,-2.593389,29.474611,Rwanda,Nyaruguru
1002641,-2.755667,29.536444,Rwanda,Nyaruguru
1002668,-2.711764,29.557267,Rwanda,Nyaruguru
1007535,-2.7761,29.464528,Rwanda,Nyaruguru
1007539,-2.697944,29.446917,Rwanda,Nyaruguru
1007544,-2.71578,29.67607,Rwanda,Nyaruguru
1007563,-2.69808,29.54557,Rwanda,Nyaruguru
1007572,-2.7891,29.56721,Rwanda,Nyaruguru
1007580,-2.79415,29.6986,Rwanda,Nyaruguru
