Bridge Site ID,Longitude,Latitude
006f100000a86Gd,29.54557,-2.69808
006f100000d7ayg,29.54411,-1.81792
006f100000d7jI3,29.78521,-2.56425
006f100000a86Dl,30.008065,-2.018067
006f100000biKAa,30.100122,-1.66842
006f100000d7iX7,29.289722,-1.86777
006f100000a86G6,30.034608,-1.94142
006f100000biKA1,30.129922,-1.554772
006f100000cPuua,29.649033,-2.621482
006f100000biKAa,30.100122,-1.66842
006f100000biKAL,30.097712,-1.675363
006f100000d767S,29.84815,-2.45403
006f100000d7bAR,29.88201,-2.51384
006f100000a86IK,29.41401,-2.02409
006f100000d7Pqr,29.63099,-2.03409
006f100000d6wBy,29.76212259,-2.01211492
006f100000d1fOy,29.37769,-2.18135
006f100000Zs7Kq,29.557267,-2.711764
006f100000a86HN,29.665556,-2.161944
006f100000a86Gm,29.56721,-2.7891
006f100000cME4x,29.493611,-1.94833
006f100000d7icR,29.86773,-1.62306
006f100000d6mYV,29.68033,-2.37584
006f100000d6kxF,29.472585,-2.304674
006f100000cME4T,29.47704,-1.91924
006f100000a86Dk,29.84578,-1.972033
006f100000d7cnF,29.87352,-1.73099
006f100000d7iZw,29.37049,-1.90122
006f100000eekWT,30.2538,-1.43737
006f100000a86Es,30.288805,-1.367991
006f100000a86E0,29.71500053,-2.07322294
006f100000a86Da,29.612778,-2.513333
006f100000aSNCT,29.366194,-1.723639
006f100000dhpCW,29.651,-1.88597
006f100000cME57,29.37514,-1.77286
006f100000cME5C,29.377044,-1.777574
006f100000d761u,29.67017014,-1.87302569
006f100000d888g,29.54295,-2.21245
006f100000cME57,29.37514,-1.77286
006f100000cME57,29.37514,-1.77286
006f100000d7EZR,29.64411986,-2.05545934
006f100000d6wRL,29.6848,-2.35939
006f100000d6wJr,29.493611,-1.94833
006f100000d88IW,29.263236,-2.210267
006f100000a86FH,29.43966667,-2.45674667
006f100000d6kvT,29.40916,-1.985833
006f100000a82Qz,29.141944,-2.322534
006f100000d7Eat,29.57632,-2.026616
006f100000d7QQO,29.65746,-2.48655
006f100000d7Eat,29.57632,-2.026616
006f100000d6wNe,29.416145,-2.48689
006f100000d7PrB,29.56793,-1.94955
006f100000d7673,29.81484,-2.30781
006f100000d767N,29.87035,-2.45118
006f100000d7x5o,29.81289,-2.70198
006f100000d7ET8,29.80904,-2.4851
006f100000cME5l,29.532594,-1.955157
006f100000a86Id,30.025484,-1.947431
006f100000cPXEE,29.41472222,-2.02408333
006f100000a86HT,29.8994722,-1.6443889
006f100000d1Tr5,28.9137,-2.44658
006f100000a86FJ,29.55353,-2.363733
006f100000eev0l,30.344471,-1.239774
006f100000d6wBo,29.70709763,-2.04935967
006f100000d7iYP,29.33218,-1.84792
006f100000d7iYe,29.324166,-1.8675
006f100000cME5H,29.37679,-1.763
006f100000eesiU,29.92942,-1.872181
006f100000d6wC3,29.66043,-1.73435
006f100000bh0WY,30.65636,-2.15158
006f100000d7jHF,29.75931,-2.59149
006f100000cME5H,29.37679,-1.763
006f100000a86Fj,29.576407,-2.233278
006f100000d7jEf,29.42021,-2.18978
006f100000a86HF,29.35808,-1.70902
006f100000a86FX,29.57513,-2.233022
006f100000a86DB,29.70305556,-1.623611111
006f100000d7b6a,29.242738,-2.301919
006f100000a86FK,29.57068,-2.39084
006f100000eekYU,29.996602,-1.894583
0063Z00000gLr35,29.763889,-2.012167
006f100000a86IW,30.04942,-1.916403
006f100000eekWJ,30.23321,-1.46111
006f100000a86HL,29.80927,-2.18495
006f100000a86Do,29.5181389,-2.14375
006f100000a86H4,29.45740167,-2.63522167
006f100000a86F4,29.4208,-2.47640667
006f100000a86G1,29.668688,-2.329779
